,vot,f0,dec,condition,subject,accuracy
554,6,4,0.72758263,clear,69_31,0.29022244
555,6,4,0.8667286,noise,69_31,0.13445617
556,4,2,0.65511954,noise,69_31,0.34448975
557,4,2,0.8034366,clear,69_31,0.23074184
558,4,6,0.34448975,noise,69_31,0.34448975
559,4,6,0.23074184,clear,69_31,0.23074184
560,2,4,0.29098424,clear,70_30,0.29098424
561,2,4,0.121216916,noise,70_30,0.121216916
562,6,4,0.72790956,clear,70_30,0.29098424
563,6,4,0.8719112,noise,70_30,0.121216916
564,4,2,0.65827775,noise,70_30,0.33996058
565,4,2,0.8049806,clear,70_30,0.22723176
566,4,6,0.33996058,noise,70_30,0.33996058
567,4,6,0.22723176,clear,70_30,0.22723176
568,2,4,0.29861096,clear,71_29,0.29861096
569,2,4,0.12488677,noise,71_29,0.12488677
570,6,4,0.72197556,clear,71_29,0.29861096
571,6,4,0.872001,noise,71_29,0.12488677
572,4,2,0.6460932,noise,71_29,0.34338152
573,4,2,0.80075306,clear,71_29,0.22124924
574,4,6,0.34338152,noise,71_29,0.34338152
575,4,6,0.22124924,clear,71_29,0.22124924
576,2,4,0.2995912,clear,72_28,0.2995912
577,2,4,0.124432005,noise,72_28,0.124432005
578,6,4,0.7140823,clear,72_28,0.2995912
579,6,4,0.88208354,noise,72_28,0.124432005
580,4,2,0.6442844,noise,72_28,0.34580567
581,4,2,0.81027716,clear,72_28,0.22025225
582,4,6,0.34580567,noise,72_28,0.34580567
583,4,6,0.22025225,clear,72_28,0.22025225
584,2,4,0.30278924,clear,73_27,0.30278924
585,2,4,0.11593743,noise,73_27,0.11593743
586,6,4,0.7181952,clear,73_27,0.30278924
587,6,4,0.88227385,noise,73_27,0.11593743
588,4,2,0.64346284,noise,73_27,0.3568597
589,4,2,0.82094926,clear,73_27,0.21719304
590,4,6,0.3568597,noise,73_27,0.3568597
591,4,6,0.21719304,clear,73_27,0.21719304
592,2,4,0.30824545,clear,74_26,0.30824545
593,2,4,0.11460974,noise,74_26,0.11460974
594,6,4,0.7082847,clear,74_26,0.30824545
595,6,4,0.87996566,noise,74_26,0.11460974
596,4,2,0.6454087,noise,74_26,0.34574944
597,4,2,0.8199994,clear,74_26,0.21158567
598,4,6,0.34574944,noise,74_26,0.34574944
599,4,6,0.21158567,clear,74_26,0.21158567
600,2,4,0.30343288,clear,75_25,0.30343288
601,2,4,0.10380491,noise,75_25,0.10380491
602,6,4,0.7129924,clear,75_25,0.30343288
603,6,4,0.8876825,noise,75_25,0.10380491
604,4,2,0.63624,noise,75_25,0.35636026
605,4,2,0.82523555,clear,75_25,0.20940943
606,4,6,0.35636026,noise,75_25,0.35636026
607,4,6,0.20940943,clear,75_25,0.20940943
608,2,4,0.3085526,clear,76_24,0.3085526
609,2,4,0.10685618,noise,76_24,0.10685618
610,6,4,0.70650643,clear,76_24,0.3085526
611,6,4,0.8921609,noise,76_24,0.10685618
612,4,2,0.6327521,noise,76_24,0.3571662
613,4,2,0.8309639,clear,76_24,0.20527382
614,4,6,0.3571662,noise,76_24,0.3571662
615,4,6,0.20527382,clear,76_24,0.20527382
616,2,4,0.31381884,clear,77_23,0.31381884
617,2,4,0.10133048,noise,77_23,0.10133048
618,6,4,0.7057327,clear,77_23,0.31381884
619,6,4,0.8989593,noise,77_23,0.10133048
620,4,2,0.63796854,noise,77_23,0.36348775
621,4,2,0.83356905,clear,77_23,0.19695483
622,4,6,0.36348775,noise,77_23,0.36348775
623,4,6,0.19695483,clear,77_23,0.19695483
624,2,4,0.31959537,clear,78_22,0.31959537
625,2,4,0.09724495,noise,78_22,0.09724495
626,6,4,0.7003035,clear,78_22,0.31959537
627,6,4,0.89705414,noise,78_22,0.09724495
628,4,2,0.63015103,noise,78_22,0.3594578
629,4,2,0.8443009,clear,78_22,0.19805408
630,4,6,0.3594578,noise,78_22,0.3594578
631,4,6,0.19805408,clear,78_22,0.19805408
632,2,4,0.32000113,clear,79_21,0.32000113
633,2,4,0.09036075,noise,79_21,0.09036075
634,6,4,0.6937848,clear,79_21,0.32000113
635,6,4,0.89584744,noise,79_21,0.09036075
636,4,2,0.62619334,noise,79_21,0.36468738
637,4,2,0.84216547,clear,79_21,0.19197623
638,4,6,0.36468738,noise,79_21,0.36468738
639,4,6,0.19197623,clear,79_21,0.19197623
640,2,4,0.32626936,clear,80_20,0.32626936
641,2,4,0.09426498,noise,80_20,0.09426498
642,6,4,0.69855154,clear,80_20,0.32626936
643,6,4,0.9030858,noise,80_20,0.09426498
644,4,2,0.6268288,noise,80_20,0.36188054
645,4,2,0.85141516,clear,80_20,0.19229585
646,4,6,0.36188054,noise,80_20,0.36188054
647,4,6,0.19229585,clear,80_20,0.19229585
648,2,4,0.32969916,clear,81_19,0.32969916
649,2,4,0.082133316,noise,81_19,0.082133316
650,6,4,0.69636947,clear,81_19,0.32969916
651,6,4,0.9028436,noise,81_19,0.082133316
652,4,2,0.6260118,noise,81_19,0.36421087
653,4,2,0.85199547,clear,81_19,0.18160601
654,4,6,0.36421087,noise,81_19,0.36421087
655,4,6,0.18160601,clear,81_19,0.18160601
656,2,4,0.32741043,clear,82_18,0.32741043
657,2,4,0.0820301,noise,82_18,0.0820301
658,6,4,0.68620837,clear,82_18,0.32741043
659,6,4,0.9097866,noise,82_18,0.0820301
660,4,2,0.62532765,noise,82_18,0.3683666
661,4,2,0.8597244,clear,82_18,0.17986757
662,4,6,0.3683666,noise,82_18,0.3683666
663,4,6,0.17986757,clear,82_18,0.17986757
664,2,4,0.3312812,clear,83_17,0.3312812
665,2,4,0.081111744,noise,83_17,0.081111744
666,6,4,0.690672,clear,83_17,0.3312812
667,6,4,0.9145361,noise,83_17,0.081111744
668,4,2,0.61629754,noise,83_17,0.37244752
669,4,2,0.8619888,clear,83_17,0.17954123
670,4,6,0.37244752,noise,83_17,0.37244752
671,4,6,0.17954123,clear,83_17,0.17954123
672,2,4,0.34292436,clear,84_16,0.34292436
673,2,4,0.08172887,noise,84_16,0.08172887
674,6,4,0.68398124,clear,84_16,0.34292436
675,6,4,0.9184798,noise,84_16,0.08172887
676,4,2,0.61919606,noise,84_16,0.3670272
677,4,2,0.8638211,clear,84_16,0.16749728
678,4,6,0.3670272,noise,84_16,0.3670272
679,4,6,0.16749728,clear,84_16,0.16749728
680,2,4,0.34529826,clear,85_15,0.34529826
681,2,4,0.076374136,noise,85_15,0.076374136
682,6,4,0.67507297,clear,85_15,0.34529826
683,6,4,0.91577697,noise,85_15,0.076374136
684,4,2,0.6148652,noise,85_15,0.37232324
685,4,2,0.8701188,clear,85_15,0.1656884
686,4,6,0.37232324,noise,85_15,0.37232324
687,4,6,0.1656884,clear,85_15,0.1656884
688,2,4,0.33953285,clear,86_14,0.33953285
689,2,4,0.07157969,noise,86_14,0.07157969
690,6,4,0.67861754,clear,86_14,0.33953285
691,6,4,0.9176982,noise,86_14,0.07157969
692,4,2,0.6110956,noise,86_14,0.38036144
693,4,2,0.87136936,clear,86_14,0.16882074
694,4,6,0.38036144,noise,86_14,0.38036144
695,4,6,0.16882074,clear,86_14,0.16882074
696,2,4,0.346921,clear,87_13,0.346921
697,2,4,0.06989813,noise,87_13,0.06989813
698,6,4,0.66815585,clear,87_13,0.346921
699,6,4,0.9267272,noise,87_13,0.06989813
700,4,2,0.6138477,noise,87_13,0.37142518
701,4,2,0.8797261,clear,87_13,0.15973617
702,4,6,0.37142518,noise,87_13,0.37142518
703,4,6,0.15973617,clear,87_13,0.15973617
704,2,4,0.3457651,clear,88_12,0.3457651
705,2,4,0.06457346,noise,88_12,0.06457346
706,6,4,0.6639467,clear,88_12,0.3457651
707,6,4,0.9216991,noise,88_12,0.06457346
708,4,2,0.6114098,noise,88_12,0.38011765
709,4,2,0.8777867,clear,88_12,0.16127236
710,4,6,0.38011765,noise,88_12,0.38011765
711,4,6,0.16127236,clear,88_12,0.16127236
712,2,4,0.35451406,clear,89_11,0.35451406
713,2,4,0.06914926,noise,89_11,0.06914926
714,6,4,0.6658871,clear,89_11,0.35451406
715,6,4,0.9268071,noise,89_11,0.06914926
716,4,2,0.60407704,noise,89_11,0.3824878
717,4,2,0.87955135,clear,89_11,0.15438712
718,4,6,0.3824878,noise,89_11,0.3824878
719,4,6,0.15438712,clear,89_11,0.15438712
720,2,4,0.35406268,clear,90_10,0.35406268
721,2,4,0.056623023,noise,90_10,0.056623023
722,6,4,0.6623648,clear,90_10,0.35406268
723,6,4,0.93589747,noise,90_10,0.056623023
724,4,2,0.6031345,noise,90_10,0.38358703
725,4,2,0.8885915,clear,90_10,0.14842011
726,4,6,0.38358703,noise,90_10,0.38358703
727,4,6,0.14842011,clear,90_10,0.14842011
728,2,4,0.35328218,clear,91_9,0.35328218
729,2,4,0.057429068,noise,91_9,0.057429068
730,6,4,0.66872615,clear,91_9,0.35328218
731,6,4,0.93530756,noise,91_9,0.057429068
732,4,2,0.6025311,noise,91_9,0.38371697
733,4,2,0.88801247,clear,91_9,0.14476718
734,4,6,0.38371697,noise,91_9,0.38371697
735,4,6,0.14476718,clear,91_9,0.14476718
736,2,4,0.3596691,clear,92_8,0.3596691
737,2,4,0.048113417,noise,92_8,0.048113417
738,6,4,0.6709897,clear,92_8,0.3596691
739,6,4,0.9349203,noise,92_8,0.048113417
740,4,2,0.59892654,noise,92_8,0.38622686
741,4,2,0.89362466,clear,92_8,0.13741012
742,4,6,0.38622686,noise,92_8,0.38622686
743,4,6,0.13741012,clear,92_8,0.13741012
744,2,4,0.3613387,clear,93_7,0.3613387
745,2,4,0.049912795,noise,93_7,0.049912795
746,6,4,0.6586351,clear,93_7,0.3613387
747,6,4,0.9359819,noise,93_7,0.049912795
748,4,2,0.5998465,noise,93_7,0.3866714
749,4,2,0.8918794,clear,93_7,0.13867871
750,4,6,0.3866714,noise,93_7,0.3866714
751,4,6,0.13867871,clear,93_7,0.13867871
752,2,4,0.36176014,clear,94_6,0.36176014
753,2,4,0.0547131,noise,94_6,0.0547131
754,6,4,0.66278595,clear,94_6,0.36176014
755,6,4,0.9328242,noise,94_6,0.0547131
756,4,2,0.5949165,noise,94_6,0.39543933
757,4,2,0.8941976,clear,94_6,0.1323854
758,4,6,0.39543933,noise,94_6,0.39543933
759,4,6,0.1323854,clear,94_6,0.1323854
760,2,4,0.36619553,clear,95_5,0.36619553
761,2,4,0.048405215,noise,95_5,0.048405215
762,6,4,0.65516114,clear,95_5,0.36619553
763,6,4,0.94164675,noise,95_5,0.048405215
764,4,2,0.60251504,noise,95_5,0.3987949
765,4,2,0.9033901,clear,95_5,0.13106582
766,4,6,0.3987949,noise,95_5,0.3987949
767,4,6,0.13106582,clear,95_5,0.13106582
768,2,4,0.36787936,clear,96_4,0.36787936
769,2,4,0.045016598,noise,96_4,0.045016598
770,6,4,0.6538065,clear,96_4,0.36787936
771,6,4,0.9388566,noise,96_4,0.045016598
772,4,2,0.58688766,noise,96_4,0.38958532
773,4,2,0.9027639,clear,96_4,0.12494514
774,4,6,0.38958532,noise,96_4,0.38958532
775,4,6,0.12494514,clear,96_4,0.12494514
776,2,4,0.37080407,clear,97_3,0.37080407
777,2,4,0.046454497,noise,97_3,0.046454497
778,6,4,0.65261817,clear,97_3,0.37080407
779,6,4,0.943022,noise,97_3,0.046454497
780,4,2,0.5939948,noise,97_3,0.38894063
781,4,2,0.9062198,clear,97_3,0.12184967
782,4,6,0.38894063,noise,97_3,0.38894063
783,4,6,0.12184967,clear,97_3,0.12184967
784,2,4,0.37276328,clear,98_2,0.37276328
785,2,4,0.041905712,noise,98_2,0.041905712
786,6,4,0.65565354,clear,98_2,0.37276328
787,6,4,0.9469427,noise,98_2,0.041905712
788,4,2,0.5920764,noise,98_2,0.40232652
789,4,2,0.9074619,clear,98_2,0.11565389
790,4,6,0.40232652,noise,98_2,0.40232652
791,4,6,0.11565389,clear,98_2,0.11565389
792,2,4,0.37547138,clear,99_1,0.37547138
793,2,4,0.04237167,noise,99_1,0.04237167
794,6,4,0.6536469,clear,99_1,0.37547138
795,6,4,0.9506604,noise,99_1,0.04237167
796,4,2,0.587203,noise,99_1,0.39831182
797,4,2,0.90883493,clear,99_1,0.12193566
798,4,6,0.39831182,noise,99_1,0.39831182
799,4,6,0.12193566,clear,99_1,0.12193566
